Config, TestPasses, TestPassesRatio, CodeBLEU
MethodRenaming|plbart|base|c2,21/149,14.094,71.136
MethodRenaming|plbart|large|c1,48/149,32.215,79.335
MethodRenaming|plbart|large|c2,31/149,20.805,73.351
MethodRenaming|plbart_finetune|base|c1,33/149,22.148,82.826
MethodRenaming|plbart_finetune|large|c1,44/149,29.53,83.053
MethodRenaming|codet5|small|c1,6/149,4.027,74.048
MethodRenaming|codet5|small|c3,1/149,0.671,69.991
MethodRenaming|codet5|base|c1,5/161,3.106,73.259
MethodRenaming|codet5|base|c3,0/149,0.0,67.804
MethodRenaming|codet5|large|c1,5/161,3.106,21.581
MethodRenaming|codet5|large|c3,3/149,2.013,70.25
MethodRenaming|codet5_finetune|small|c1,36/149,24.161,82.963
MethodRenaming|codet5_finetune|base|c1,48/149,32.215,82.724
MethodRenaming|codet5_finetune|large|c1,47/149,31.544,81.706
ParameterRenaming|plbart|base|c1,38/161,23.602,79.925
ParameterRenaming|plbart|base|c2,22/161,13.665,73.597
ParameterRenaming|plbart|large|c1,52/161,32.298,80.021
ParameterRenaming|plbart|large|c2,39/161,24.224,74.59
ParameterRenaming|plbart_finetune|base|c1,37/161,22.981,83.868
ParameterRenaming|plbart_finetune|large|c1,48/161,29.814,83.846
ParameterRenaming|codet5|small|c1,5/161,3.106,75.227
ParameterRenaming|codet5|small|c3,1/161,0.621,70.536
ParameterRenaming|codet5|base|c1,5/161,3.106,73.683
ParameterRenaming|codet5|base|c3,0/161,0.0,67.914
ParameterRenaming|codet5|large|c1,5/161,3.106,15.103
ParameterRenaming|codet5|large|c3,2/161,1.242,71.474
ParameterRenaming|codet5_finetune|small|c1,38/161,23.602,84.025
ParameterRenaming|codet5_finetune|base|c1,52/161,32.298,83.943
ParameterRenaming|codet5_finetune|large|c1,50/161,31.056,82.543
ReorderCondition|plbart|base|c1,73/603,12.106,81.307
ReorderCondition|plbart|base|c2,22/603,3.648,72.041
ReorderCondition|plbart|large|c1,111/603,18.408,82.014
ReorderCondition|plbart|large|c2,64/603,10.614,73.046
ReorderCondition|plbart_finetune|base|c1,65/603,10.779,85.911
ReorderCondition|plbart_finetune|large|c1,82/603,13.599,85.796
ReorderCondition|codet5|small|c1,24/603,3.98,79.577
ReorderCondition|codet5|small|c3,4/603,0.663,76.306
ReorderCondition|codet5|base|c1,5/161,3.106,78.532
ReorderCondition|codet5|base|c3,0/603,0.0,73.374
ReorderCondition|codet5|large|c1,5/161,3.106,53.591
ReorderCondition|codet5|large|c3,0/603,0.0,75.597
ReorderCondition|codet5_finetune|small|c1,71/603,11.774,85.348
ReorderCondition|codet5_finetune|base|c1,84/603,13.93,85.625
ReorderCondition|codet5_finetune|large|c1,86/603,14.262,85.087
TryCatch|plbart|base|c1,0/114,0.0,78.701
TryCatch|plbart|base|c2,0/114,0.0,65.702
TryCatch|plbart|large|c1,0/114,0.0,79.258
TryCatch|plbart|large|c2,0/114,0.0,67.855
TryCatch|plbart_finetune|base|c1,0/114,0.0,82.666
TryCatch|plbart_finetune|large|c1,0/114,0.0,82.319
TryCatch|codet5|small|c1,0/114,0.0,76.353
TryCatch|codet5|small|c3,0/114,0.0,70.96
TryCatch|codet5|base|c1,5/161,3.106,73.278
TryCatch|codet5|base|c3,0/114,0.0,67.696
TryCatch|codet5|large|c1,5/161,3.106,79.03
TryCatch|codet5|large|c3,0/114,0.0,70.879
TryCatch|codet5_finetune|small|c1,0/114,0.0,82.929
TryCatch|codet5_finetune|base|c1,0/114,0.0,82.242
TryCatch|codet5_finetune|large|c1,0/114,0.0,81.524
VariableRenaming|plbart|base|c1,2/100,2.0,78.627
VariableRenaming|plbart|base|c2,2/100,2.0,69.583
VariableRenaming|plbart|large|c1,5/100,5.0,78.748
VariableRenaming|plbart|large|c2,3/100,3.0,71.173
VariableRenaming|plbart_finetune|base|c1,4/100,4.0,82.007
VariableRenaming|plbart_finetune|large|c1,5/100,5.0,82.194
VariableRenaming|codet5|small|c1,0/100,0.0,72.815
VariableRenaming|codet5|small|c3,0/100,0.0,70.463
VariableRenaming|codet5|base|c1,5/161,3.106,71.958
VariableRenaming|codet5|base|c3,0/100,0.0,68.088
VariableRenaming|codet5|large|c1,5/161,3.106,66.462
VariableRenaming|codet5|large|c3,0/100,0.0,70.279
VariableRenaming|codet5_finetune|small|c1,6/100,6.0,81.476
VariableRenaming|codet5_finetune|base|c1,8/100,8.0,81.631
VariableRenaming|codet5_finetune|large|c1,7/100,7.0,80.979
