Config, TestPasses, CodeBLEU
MethodRenaming|codet5|small|c3,99.333,69.991
MethodRenaming|codet5|base|c1,96.988,73.259
MethodRenaming|codet5|base|c3,100.0,67.804
MethodRenaming|codet5|large|c1,96.988,21.581
MethodRenaming|codet5|large|c3,98.026,70.25
MethodRenaming|codet5_finetune|small|c1,80.541,82.963
MethodRenaming|codet5_finetune|base|c1,75.635,82.724
MethodRenaming|codet5_finetune|large|c1,76.02,81.706
ParameterRenaming|plbart|base|c1,80.905,79.925
ParameterRenaming|plbart|base|c2,87.978,73.597
ParameterRenaming|plbart|large|c1,75.587,80.021
ParameterRenaming|plbart|large|c2,80.5,74.59
ParameterRenaming|plbart_finetune|base|c1,81.313,83.868
ParameterRenaming|plbart_finetune|large|c1,77.033,83.846
ParameterRenaming|codet5|small|c1,96.988,75.227
ParameterRenaming|codet5|small|c3,99.383,70.536
ParameterRenaming|codet5|base|c1,96.988,73.683
ParameterRenaming|codet5|base|c3,100.0,67.914
ParameterRenaming|codet5|large|c1,96.988,15.103
ParameterRenaming|codet5|large|c3,98.773,71.474
ParameterRenaming|codet5_finetune|small|c1,80.905,84.025
ParameterRenaming|codet5_finetune|base|c1,75.587,83.943
ParameterRenaming|codet5_finetune|large|c1,76.303,82.543
ReorderCondition|plbart|base|c1,89.201,81.307
ReorderCondition|plbart|base|c2,96.48,72.041
ReorderCondition|plbart|large|c1,84.454,82.014
ReorderCondition|plbart|large|c2,90.405,73.046
ReorderCondition|plbart_finetune|base|c1,90.269,85.911
ReorderCondition|plbart_finetune|large|c1,88.029,85.796
ReorderCondition|codet5|small|c1,96.172,79.577
ReorderCondition|codet5|small|c3,99.341,76.306
ReorderCondition|codet5|base|c1,96.988,78.532
ReorderCondition|codet5|base|c3,100.0,73.374
ReorderCondition|codet5|large|c1,96.988,53.591
ReorderCondition|codet5|large|c3,100.0,75.597
ReorderCondition|codet5_finetune|small|c1,89.466,85.348
ReorderCondition|codet5_finetune|base|c1,87.773,85.625
ReorderCondition|codet5_finetune|large|c1,87.518,85.087
TryCatch|plbart|base|c1,100.0,78.701
TryCatch|plbart|base|c2,100.0,65.702
TryCatch|plbart|large|c1,100.0,79.258
TryCatch|plbart|large|c2,100.0,67.855
TryCatch|plbart_finetune|base|c1,100.0,82.666
TryCatch|plbart_finetune|large|c1,100.0,82.319
TryCatch|codet5|small|c1,100.0,76.353
TryCatch|codet5|small|c3,100.0,70.96
TryCatch|codet5|base|c1,96.988,73.278
TryCatch|codet5|base|c3,100.0,67.696
TryCatch|codet5|large|c1,96.988,79.03
TryCatch|codet5|large|c3,100.0,70.879
TryCatch|codet5_finetune|small|c1,100.0,82.929
TryCatch|codet5_finetune|base|c1,100.0,82.242
TryCatch|codet5_finetune|large|c1,100.0,81.524
VariableRenaming|plbart|base|c1,98.039,78.627
VariableRenaming|plbart|base|c2,98.039,69.583
VariableRenaming|plbart|large|c1,95.238,78.748
VariableRenaming|plbart|large|c2,97.087,71.173
VariableRenaming|plbart_finetune|base|c1,96.154,82.007
VariableRenaming|plbart_finetune|large|c1,95.238,82.194
VariableRenaming|codet5|small|c1,100.0,72.815
VariableRenaming|codet5|small|c3,100.0,70.463
VariableRenaming|codet5|base|c1,96.988,71.958
VariableRenaming|codet5|base|c3,100.0,68.088
VariableRenaming|codet5|large|c1,96.988,66.462
VariableRenaming|codet5|large|c3,100.0,70.279
VariableRenaming|codet5_finetune|small|c1,94.34,81.476
VariableRenaming|codet5_finetune|base|c1,92.593,81.631
VariableRenaming|codet5_finetune|large|c1,93.458,80.979
